Compressor_field__params, relative_error, psnr, Max Compression Throughput(MB/s), Max DeCompression Throughput(MB/s), Max Compress Time(s), Min Compression Throughput(MB/s), Min DeCompression Throughput(MB/s), Compression Ratio
BLOSC_baryon_density__, 0, inf, 193.236, 1435.49, 1.67201, 153.11, 1250.24, 1.22551
BLOSC_dark_matter_density__, 0, inf, 152.724, 1110.93, 1.99408, 128.38, 1037.17, 1.08047
BLOSC_temperature__, 0, inf, 199.201, 1637.26, 1.71591, 149.192, 1274.55, 1.2704
BLOSC_velocity_x__, 0, inf, 218.191, 1271.88, 1.69207, 151.294, 1096.48, 1.36436
BLOSC_velocity_y__, 0, inf, 208.39, 1224.84, 1.66285, 153.952, 1061.03, 1.35867
BLOSC_velocity_z__, 0, inf, 205.235, 1365.09, 1.67004, 153.289, 1139.02, 1.31805
SZ_baryon_density__pw_rel0.01, 0.00999998, 127.496, 95.9645, 142.062, 2.97474, 86.0581, 127.308, 5.23386
SZ_dark_matter_density__pw_rel0.01, 0.00999992, 112.804, 87.0931, 133.688, 3.7659, 67.9784, 119.642, 3.27526
SZ_temperature__pw_rel0.01, 0.00999995, 101.61, 98.4218, 152.054, 2.83956, 90.1548, 130.175, 6.36895
SZ_velocity_x__pw_rel0.01, 0.00999996, 61.8404, 102.996, 154.27, 2.92229, 87.6027, 131.093, 7.42946
SZ_velocity_y__pw_rel0.01, 0.00999994, 63.4353, 98.3668, 151.229, 2.92801, 87.4315, 131.928, 7.26321
SZ_velocity_z__pw_rel0.01, 0.00999997, 61.6299, 100.017, 151.763, 3.02493, 84.6302, 133.523, 6.05706
fpzip_baryon_density__bits18, 0.0019492, 143.688, 19.9403, 23.5425, 13.9858, 18.3042, 21.2618, 2.79168
fpzip_dark_matter_density__bits18, 0.0019492, 129.093, 18.2398, 22.4355, 14.9709, 17.0998, 20.922, 2.23051
fpzip_temperature__bits18, 0.0019492, 117.842, 20.8819, 24.3427, 13.3003, 19.2477, 21.8726, 3.42542
fpzip_velocity_x__bits18, 0.0019492, 78.0757, 23.3417, 26.1935, 12.7074, 20.1458, 23.1273, 4.46957
fpzip_velocity_y__bits18, 0.0019492, 79.6442, 22.9216, 25.8384, 12.6144, 20.2943, 23.3688, 4.44461
fpzip_velocity_z__bits18, 0.0019492, 77.831, 22.8837, 25.685, 13.586, 18.843, 22.595, 4.01953
fpzip_baryon_density__bits19, 0.000975491, 149.57, 19.4871, 23.2937, 14.1957, 18.0336, 21.2541, 2.56758
fpzip_dark_matter_density__bits19, 0.000975491, 135.076, 17.7773, 21.5643, 15.0421, 17.0189, 20.0166, 2.08509
fpzip_temperature__bits19, 0.000975491, 123.864, 20.5106, 24.0011, 13.6272, 18.786, 22.2299, 3.09406
fpzip_velocity_x__bits19, 0.000975491, 84.094, 22.915, 25.7081, 13.0856, 19.5634, 22.7581, 3.92416
fpzip_velocity_y__bits19, 0.000975491, 85.6626, 22.4597, 25.3055, 12.8865, 19.8657, 22.986, 3.90435
fpzip_velocity_z__bits19, 0.000975491, 83.8495, 22.4182, 25.193, 13.3441, 19.1846, 21.8475, 3.57183
